Track ID,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode
1HXgSjvrbKIyLX1GEpcBHB,0.494,0.818,-5.533,0.00708,0,0.111,0.0414,165.978,4,1
5Cwd6dCipMeRETsikbexuL,0.449,0.785,-9.883,0.175,0,0.285,0.0482,117.106,5,1
6GsAD8PgHxmEuIPTG8GP3M,0.543,0.837,-6.448,0.117,0,0.0872,0.0608,168.056,11,1
0SiywuOBRcynK0uKGWdCnn,0.696,0.921,-3.755,0.00314,5.24e-05,0.0842,0.0363,119.001,0,1
0WdBh2BQOq9U7PMk6sWzMz,0.404,0.79,-5.281,0.089,4.75e-06,0.124,0.0434,83.978,0,1
1SfYqNab6yiVBKUHhEXGAD,0.726,0.888,-7.191,0.335,0.000345,0.689,0.0726,136.29,5,0
1HmzAZUvhQLhLo2z3ocpZI,0.744,0.502,-7.705,0.179,0.000172,0.19,0.0359,112.345,5,1
1dFLowBW25EaL2OC7eKEa2,0.656,0.917,-4.652,0.045,0.000732,0.0878,0.0495,152.067,0,1
1RLT391KHFFJwbDb7y3eyd,0.614,0.805,-5.34,0.00445,2.98e-05,0.0604,0.0439,80.02,7,1
7yQMZQeiSKnvEgimeGPVhi,0.585,0.39,-10.233,0.68,0.000769,0.0919,0.0266,109.514,3,1
6iblnklMzUKIXAtjk5lzIy,0.52,0.333,-11.508,0.816,0,0.188,0.0302,74.165,2,1
3wx2kQWPn9p5UppQbNhPAk,0.514,0.951,-3.813,0.0951,0,0.349,0.0603,171.96,9,1
7Jh9XDqXe3yvxovXsLYOO2,0.798,0.748,-6.287,0.0296,0,0.22,0.0822,116.0,11,1
48JlBoXcuOj8hDDgbaZUxg,0.539,0.735,-9.224,0.346,0.00204,0.05,0.0326,172.017,7,1
77Y57qRJBvkGCUw9qs0qMg,0.546,0.655,-6.526,0.386,1.04e-05,0.0983,0.0255,80.007,8,1
