Track ID,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode
76DhLVnoczE6umkHKR2Ec6,0.626,0.705,-5.911,0.121,1.67e-05,0.341,0.0256,103.936,9,1
3fqwjXwUGN6vbzIwvyFMhx,0.392,0.37,-10.888,0.205,0.0096,0.0821,0.0298,48.718,9,1
5HGibWoxnkYSkl6mHmAlOE,0.661,0.751,-2.909,0.0571,0,0.105,0.0481,109.995,7,1
1WzAeadSKJhqykZFbJNmQv,0.744,0.637,-4.483,0.337,0.000222,0.0696,0.0241,100.511,6,1
7mldq42yDuxiUNn08nvzHO,0.732,0.458,-7.225,0.447,0,0.136,0.0311,98.938,5,1
59uQI0PADDKeE6UZDTJEe8,0.517,0.675,-5.382,0.459,0,0.151,0.0357,203.853,6,1
1qPbGZqppFwLwcBC1JQ6Vr,0.41,0.854,-5.609,0.00236,0,0.133,0.0366,174.584,2,1
6EMynpZ10GVcwVqiLZj6Ye,0.303,0.853,-2.26,0.223,0.00159,0.361,0.0366,150.381,2,1
7ppPZa3TRUSGKaks9wH7VT,0.349,0.917,-3.645,0.026,7.25e-06,0.0968,0.071,164.036,0,1
56Zi6yU14BMl1NB9KWxHKL,0.834,0.461,-16.839,0.0873,0.845,0.0953,0.148,109.972,1,0
2BHj31ufdEqVK5CkYDp9mA,0.658,0.747,-6.615,0.176,8.49e-06,0.0789,0.0431,108.259,5,1
72UfjeC5R2SWpe9TTzwhKT,0.307,0.381,-12.349,0.449,0.0725,0.962,0.0408,150.358,4,1
6foY66mWZN0pSRjZ408c00,0.614,0.68,-4.58,0.369,1.84e-06,0.115,0.0289,149.959,6,1
5uU1uuyaUIBOiiUSQG7Wl3,0.731,0.85,-4.913,0.252,0,0.605,0.0336,119.706,9,1
6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,-8.254,0.252,0.000128,0.248,0.05,132.962,5,1
2ZsBhKvZrKA5g747umTlWt,0.474,0.843,-5.166,0.506,4.49e-05,0.0754,0.0456,97.028,3,0
3Qu3Zh4WTKhP9GEXo0aDnb,0.53,0.678,-6.16,0.506,6.23e-06,0.138,0.0278,140.05,6,1
48UKTR66uUOT9LaUvooTNx,0.608,0.745,-4.13,0.0226,6.47e-06,0.0942,0.0277,102.025,1,1
0fCwTrRNfoNk962ati8n2K,0.585,0.55,-7.342,0.408,3.97e-05,0.115,0.0255,78.176,11,1
5MwynWK9s4hlyKHqhkNn4A,0.631,0.591,-5.785,0.657,0,0.11,0.0277,97.074,7,1
1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,-5.52,0.186,0,0.115,0.0262,97.994,8,1
3xdjjKMcMOFgo1eQrfbogM,0.537,0.66,-7.174,0.455,0,0.135,0.0296,148.096,9,1
67AdiJcurlf6gocGobfaXs,0.565,0.56,-6.034,0.538,0,0.0961,0.0275,159.931,6,1
5jfhLCSIFUO4ndzNRh4w4G,0.508,0.296,-10.513,0.897,5e-05,0.11,0.0755,82.532,3,1
5jfhLCSIFUO4ndzNRh4w4G,0.508,0.296,-10.513,0.897,5e-05,0.11,0.0755,82.532,3,1
1mMLMZYXkMueg65jRRWG1l,0.551,0.801,-5.069,0.013,6.03e-06,0.265,0.0303,128.027,6,1
1mMLMZYXkMueg65jRRWG1l,0.551,0.801,-5.069,0.013,6.03e-06,0.265,0.0303,128.027,6,1
0De9jFjJ4eRLl7Yww2eBw1,0.527,0.461,-5.908,0.118,0,0.0831,0.0269,128.153,7,1
03fs6oV5JAlbytRYf3371S,0.568,0.841,-3.802,0.00514,0.000503,0.147,0.0261,103.983,8,1
03fs6oV5JAlbytRYf3371S,0.568,0.841,-3.802,0.00514,0.000503,0.147,0.0261,103.983,8,1
1SjsVdSXpwm1kTdYEHoPIT,0.505,0.27,-9.165,0.593,0,0.133,0.0333,98.721,9,0
0LQtEJt7x0s6knb6RKdRYc,0.566,0.713,-4.25,0.645,0,0.114,0.0418,169.861,6,1
0LQtEJt7x0s6knb6RKdRYc,0.566,0.713,-4.25,0.645,0,0.114,0.0418,169.861,6,1
0OWhKvvsHptt6vnnNUSM9a,0.544,0.573,-5.694,0.0958,0,0.104,0.0356,122.977,8,1
0OWhKvvsHptt6vnnNUSM9a,0.544,0.573,-5.694,0.0958,0,0.104,0.0356,122.977,8,1
0uRrG2jRR5tuifsYIJHEao,0.403,0.537,-6.628,0.59,0,0.112,0.031,69.877,3,1
0uRrG2jRR5tuifsYIJHEao,0.403,0.537,-6.628,0.59,0,0.112,0.031,69.877,3,1
3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,-12.151,0.555,8.35e-06,0.0954,0.04,175.212,4,0
3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,-12.151,0.555,8.35e-06,0.0954,0.04,175.212,4,0
69AIpwGNLxr4qS1X5ynx60,0.586,0.559,-6.725,0.639,0,0.0872,0.05,177.945,4,1
69AIpwGNLxr4qS1X5ynx60,0.586,0.559,-6.725,0.639,0,0.0872,0.05,177.945,4,1
1rXq0uoV4KTgRN64jXzIxo,0.613,0.914,-5.153,0.00522,2.21e-06,0.26,0.03,141.978,7,1
2kYevr8cbIAH2ha8210Bnz,0.532,0.489,-7.419,0.149,0,0.237,0.0311,139.807,4,1
2kYevr8cbIAH2ha8210Bnz,0.532,0.489,-7.419,0.149,0,0.237,0.0311,139.807,4,1
0ENB9P6WtUEKYjQ3dKnK23,0.796,0.621,-6.129,0.175,0,0.274,0.0346,121.904,2,1
0ENB9P6WtUEKYjQ3dKnK23,0.796,0.621,-6.129,0.175,0,0.274,0.0346,121.904,2,1
3fl4zil6HJ0N1FL3YIRwdC,0.38,0.488,-6.637,0.126,7.23e-06,0.115,0.029,156.031,9,1
0U4iRayct65wsaBMQGiLbg,0.605,0.79,-5.576,0.16,0,0.126,0.0454,105.997,5,1
0U4iRayct65wsaBMQGiLbg,0.605,0.79,-5.576,0.16,0,0.126,0.0454,105.997,5,1
2UikqkwBv7aIvlixeVXHWt,0.602,0.477,-8.425,0.268,3.1e-05,0.173,0.032,183.89,9,1
2UikqkwBv7aIvlixeVXHWt,0.602,0.477,-8.425,0.268,3.1e-05,0.173,0.032,183.89,9,1
0sKEilrw1GrBlG6qsTCrP4,0.532,0.584,-5.254,0.723,0,0.101,0.0248,88.003,8,1
2tgQaL85WoRfgEa4hFQgrE,0.536,0.574,-6.705,0.75,0.00277,0.105,0.0254,87.194,7,1
2tgQaL85WoRfgEa4hFQgrE,0.536,0.574,-6.705,0.75,0.00277,0.105,0.0254,87.194,7,1
3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,-5.24,0.373,0.00107,0.126,0.0318,196.0,11,0
3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,-5.24,0.373,0.00107,0.126,0.0318,196.0,11,0
6vjZxvzdAeHp7jv3R398Xm,0.686,0.733,-6.483,0.111,0,0.153,0.0401,124.882,2,1
6vjZxvzdAeHp7jv3R398Xm,0.686,0.733,-6.483,0.111,0,0.153,0.0401,124.882,2,1
4686eQ81DEswHa90bcdlC9,0.582,0.568,-7.3,0.577,0,0.105,0.0275,121.991,1,1
2QfX9Pdz3q66fN3kCXl0Js,0.464,0.366,-9.025,0.772,1.58e-05,0.0949,0.047,78.846,7,1
2QfX9Pdz3q66fN3kCXl0Js,0.464,0.366,-9.025,0.772,1.58e-05,0.0949,0.047,78.846,7,1
5OELUCYgOHKFAvCERnAvfS,0.62,0.869,-5.479,0.615,0,0.131,0.0462,126.019,6,1
42TtHTxWk782ZBiqyOi2d1,0.447,0.441,-7.658,0.874,4.36e-05,0.188,0.0456,122.811,0,1
7lNmcW2wW6ciV9Rhh8YOMe,0.594,0.382,-5.432,0.416,0,0.117,0.0292,110.237,7,1
7lNmcW2wW6ciV9Rhh8YOMe,0.594,0.382,-5.432,0.416,0,0.117,0.0292,110.237,7,1
0mflMxspEfB0VbI1kyLiAv,0.662,0.488,-6.894,0.782,0,0.102,0.0682,117.913,9,1
0mflMxspEfB0VbI1kyLiAv,0.662,0.488,-6.894,0.782,0,0.102,0.0682,117.913,9,1
0FJqXBo7ZHrskhH4owaL9S,0.597,0.469,-6.838,0.408,0.000277,0.135,0.0276,139.422,2,1
39OclE5hZematADrdfaWvE,0.549,0.608,-8.253,0.682,0,0.0966,0.0481,78.534,5,1
39OclE5hZematADrdfaWvE,0.549,0.608,-8.253,0.682,0,0.0966,0.0481,78.534,5,1
35jC1Olo0e03VNmFIs8bqJ,0.454,0.333,-10.987,0.42,0,0.146,0.0346,88.637,8,1
35jC1Olo0e03VNmFIs8bqJ,0.454,0.333,-10.987,0.42,0,0.146,0.0346,88.637,8,1
52ChYmfu792MW2Ezv0whpk,0.423,0.58,-4.959,0.0554,2.92e-06,0.168,0.0243,82.755,1,1
6k07Z7rd9og1FvRJD2n9E8,0.5,0.485,-7.94,0.633,1.26e-06,0.107,0.0422,109.755,0,1
7ya4zrCKDslIfrztqglRIP,0.481,0.837,-4.763,0.0765,1.02e-06,0.0834,0.0305,76.033,6,1
77qpDGhjN7Hdp12JkPpHvY,0.566,0.416,-6.811,0.525,4.07e-06,0.129,0.0264,116.997,2,1
2Dct3GykKZ58hpWRFfe2Qd,0.68,0.246,-14.112,0.783,0,0.106,0.058,110.23,4,1
19MkwMrRjO7773zpuGss1o,0.447,0.341,-9.769,0.806,2.05e-06,0.686,0.0457,138.969,2,1
5gVCfYmQRPy1QJifP8f5gg,0.524,0.643,-6.055,0.451,0,0.221,0.0297,135.962,9,1
4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,-4.865,0.0513,0,0.106,0.0436,160.087,1,1
4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,-4.865,0.0513,0,0.106,0.0436,160.087,1,1
1uyn98g61g1Z3TlbhJGVqI,0.431,0.789,-5.209,0.104,0.000255,0.102,0.0414,175.981,10,1
5UNMyX2AzF8X90wAYAxG6Q,0.587,0.632,-5.416,0.148,1.01e-05,0.158,0.0311,139.974,9,1
5UNMyX2AzF8X90wAYAxG6Q,0.587,0.632,-5.416,0.148,1.01e-05,0.158,0.0311,139.974,9,1
4RG7P0CXQ4pe0OeCAHjX5L,0.504,0.736,-6.079,0.00216,0,0.129,0.0352,148.014,0,1
200x8ONbPfFzByUr3fVz46,0.607,0.912,-3.449,0.124,0,0.332,0.0611,134.944,8,1
200x8ONbPfFzByUr3fVz46,0.607,0.912,-3.449,0.124,0,0.332,0.0611,134.944,8,1
261mlNfSZhoIZSFhRevAkE,0.408,0.306,-8.334,0.901,0,0.114,0.0413,168.066,6,1
261mlNfSZhoIZSFhRevAkE,0.408,0.306,-8.334,0.901,0,0.114,0.0413,168.066,6,1
