Track Name,Artist,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode,Liked
She Wanna Party (feat. Millie Go Lightly),Young Thug,0.578,0.5,-6.656,0.125,0.0,0.235,0.271,104.095,10,0,1
WAITING,WOODZ,0.586,0.871,-2.792,0.00213,7.02e-06,0.264,0.0417,158.179,3,0,1
Track Out the Voice,KOHTA YAMAMOTO,0.589,0.713,-10.078,0.142,0.941,0.106,0.0314,160.023,0,1,1
No Go,Young Nudy,0.824,0.683,-6.644,0.249,0.0,0.224,0.244,149.986,10,1,0
Any,Stray Kids,0.879,0.868,-3.113,0.0309,0.0,0.107,0.0632,110.054,3,0,1
Calling My Name,Drake,0.826,0.276,-11.227,0.62,8.53e-05,0.118,0.266,123.985,11,0,0
Beautiful Christmas,Red Velvet,0.719,0.792,-2.549,0.0365,0.0,0.33,0.0311,109.98,1,1,0
中央線,Kinokoteikoku,0.538,0.552,-5.522,0.079,0.000728,0.0756,0.0389,169.896,1,1,1
Kawasaki,UnoTheActivist,0.808,0.65,-5.831,0.0116,0.00704,0.219,0.0653,148.956,2,1,0
What a Feeling,One Direction,0.678,0.869,-4.345,0.149,0.0,0.0593,0.0461,123.964,0,0,0
LIKE THIS,STAYC,0.584,0.757,-3.43,0.0571,6.2e-06,0.0889,0.0596,155.919,4,0,1
Poke It Out (with Nicki Minaj),Playboi Carti,0.894,0.59,-5.716,0.0969,8.9e-06,0.329,0.221,147.009,9,1,0
Dust Bunny,UnoTheActivist,0.88,0.358,-13.376,0.0226,0.22,0.0797,0.351,79.939,1,1,0
Mood Swings (feat. Lil Tjay),Pop Smoke,0.48,0.602,-6.335,0.487,0.0,0.0848,0.368,179.798,10,0,0
Nun To Do,Young Nudy,0.877,0.569,-7.392,0.325,2.9e-06,0.164,0.289,133.95,1,1,0
Rockstar Chainz,Future,0.867,0.517,-6.914,0.0116,0.0,0.31,0.307,143.043,2,1,0
What Makes You Beautiful,One Direction,0.726,0.787,-2.494,0.009,0.0,0.0596,0.0737,124.99,4,1,0
BLOW!,SPLURGE,0.936,0.659,-5.433,0.017,5.4e-05,0.126,0.432,130.006,11,0,0
When I Was Your Man,Bruno Mars,0.612,0.28,-8.648,0.932,0.0,0.088,0.0434,72.795,0,1,0
AOTF-s1,Hiroyuki Sawano,0.231,0.67,-9.31,0.00369,0.847,0.148,0.0536,91.065,4,0,1
Telepathy,BTS,0.787,0.669,-4.333,0.00782,0.0,0.123,0.0428,104.994,5,0,0
Ethereal Dreams,UnoTheActivist,0.772,0.656,-7.489,0.0281,0.0,0.107,0.135,159.968,1,1,0
Fair Trade (with Travis Scott),Drake,0.666,0.465,-8.545,0.0503,0.0,0.215,0.26,167.937,1,1,1
Richard Millie Plain,Gunna,0.744,0.674,-7.518,0.356,0.0,0.128,0.0641,134.021,1,0,1
All I Know (feat. MOON),Coogie,0.419,0.864,-4.485,0.0231,0.0,0.0962,0.0559,169.985,1,0,1
漂泊,Yasuharu Takanashi,0.506,0.0461,-18.57,0.876,0.612,0.133,0.0449,71.919,2,1,1
リフレインボーイ,ALL OFF,0.463,0.925,-4.232,1.07e-05,0.00013,0.273,0.0408,95.042,1,1,1
Capped Out,UnoTheActivist,0.783,0.742,-6.108,0.0136,0.000979,0.29,0.387,149.985,0,1,0
YES or YES,TWICE,0.702,0.913,-2.977,0.0514,3.71e-06,0.166,0.0374,137.982,11,1,1
Yao Ming,Gunna,0.938,0.504,-6.414,0.179,0.0,0.102,0.364,139.976,4,0,1
Habachi,UnoTheActivist,0.622,0.278,-21.374,0.00429,0.0135,0.153,0.107,157.0,1,1,0
Stick to the Models,Future,0.813,0.543,-6.555,0.088,7.42e-06,0.112,0.211,137.986,1,0,1
YOSEMITE,Travis Scott,0.785,0.554,-6.571,0.283,3.4e-06,0.116,0.0409,128.047,0,1,1
Nelly Air Force,SPLURGE,0.863,0.572,-6.723,0.0162,0.0,0.516,0.0997,121.979,0,1,0
WAYDT,UnoTheActivist,0.801,0.489,-9.467,0.27,0.0,0.113,0.0752,133.826,1,1,0
Treasure Sniper,海東大樹(CV.戸谷公人),0.485,0.958,-4.198,0.000292,0.0,0.196,0.0825,140.041,5,0,1
Sleeping On The Floor,Future,0.851,0.621,-6.679,0.0233,0.0,0.161,0.362,150.969,11,1,1
No Control,One Direction,0.558,0.916,-3.145,0.0278,0.0,0.0296,0.0839,142.984,1,0,0
Part Time (Feat. Queen WA$ABII) (Prod. GroovyRoom),MIRANI,0.688,0.795,-3.58,0.158,0.0,0.126,0.211,138.954,11,0,1
Sad,Maroon 5,0.781,0.259,-9.204,0.795,0.0,0.0993,0.0323,111.9,7,1,0
"London Town (feat. A$AP Rocky, A$AP Ant & Playboi Carti)",A$AP Mob,0.618,0.61,-7.812,0.332,0.0,0.108,0.39,126.016,9,0,1
Surf (feat. Gunna),Young Thug,0.93,0.561,-8.053,0.101,0.0,0.0992,0.25,140.987,0,1,1
Slam The Door,Young Stoner Life,0.915,0.527,-10.292,0.09,0.0,0.0959,0.321,119.936,10,0,1
NO GOOD REASON,EVERGLOW,0.649,0.895,-1.689,0.155,0.0466,0.0658,0.0356,140.993,2,1,1
Yea Yea,Pop Smoke,0.717,0.474,-8.383,0.0509,0.0,0.139,0.403,123.906,5,0,0
Red & Cream Soda,UnoTheActivist,0.804,0.421,-16.622,0.0748,0.0154,0.289,0.109,138.857,9,1,0
Cheech & Chong,UnoTheActivist,0.894,0.727,-6.38,0.113,5.36e-05,0.339,0.285,140.067,11,1,0
Punk Monk,Playboi Carti,0.699,0.408,-7.916,0.0145,0.00155,0.123,0.352,76.444,10,0,0
Kick It,Lil Nas X,0.739,0.484,-9.646,0.138,0.0,0.131,0.226,151.878,9,1,0
against all gods,m-flo,0.657,0.64,-5.901,0.00745,0.0,0.305,0.043,117.014,2,1,1
Babushka Boi,A$AP Rocky,0.897,0.743,-5.446,0.304,4.44e-05,0.137,0.222,134.979,10,0,1
CAN'T SAY,Travis Scott,0.702,0.708,-5.366,0.201,0.0,0.118,0.0547,147.98,10,0,1
Kill Bill,Young Nudy,0.875,0.531,-9.148,0.0755,0.0,0.0966,0.465,161.041,8,1,0
Numb My Legs,UnoTheActivist,0.76,0.699,-6.111,0.131,3.94e-05,0.109,0.0971,125.905,10,0,0
CONCEALED,Thouxanbanfauni,0.779,0.581,-8.535,0.158,0.0,0.303,0.431,150.103,7,0,0
HIGHEST IN THE ROOM,Travis Scott,0.598,0.427,-8.764,0.0546,5.83e-06,0.21,0.0317,76.469,7,0,1
Ain't Playing,Young Nudy,0.772,0.514,-8.413,0.0593,4.17e-06,0.242,0.284,159.082,0,1,0
Make a Drop,UnoTheActivist,0.904,0.191,-11.503,0.0139,0.0,0.0781,0.518,134.007,9,1,0
WANNABE,ITZY,0.809,0.911,-4.41,0.00795,0.000179,0.181,0.0617,122.035,6,0,1
Zero Eclipse,Hiroyuki Sawano,0.637,0.756,-4.614,0.0382,0.0,0.0508,0.0314,134.011,7,0,1
ABM,Young Nudy,0.826,0.427,-9.849,0.0456,3.93e-06,0.122,0.475,146.982,1,1,0
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.741,0.691,-7.395,0.0221,0.0,0.0476,0.0672,150.087,10,0,0
Don’t Matter To Me (with Michael Jackson),Drake,0.822,0.318,-12.391,0.493,0.0128,0.11,0.0575,102.998,10,1,1
Muscle,SPLURGE,0.802,0.831,-7.548,0.158,0.0,0.0641,0.38,140.138,1,0,0
Giuseppe Swag,UnoTheActivist,0.753,0.639,-4.848,0.0357,0.0,0.644,0.0689,124.002,10,0,0
Black Swan - Japanese ver.,BTS,0.714,0.736,-5.724,0.166,0.0,0.133,0.0819,147.037,2,0,1
aLIEz,SawanoHiroyuki[nZk]:mizuki,0.65,0.911,-5.344,0.0076,1.89e-05,0.111,0.0568,98.998,4,0,1
SHADOW,TWICE,0.696,0.751,-4.966,0.138,0.0,0.282,0.161,110.8,11,0,1
No replacement,STEREO DIVE FOUNDATION,0.444,0.947,-3.595,3.02e-05,2.13e-05,0.203,0.0522,170.019,11,1,1
YES or YES,TWICE,0.706,0.926,-2.947,0.0597,5.23e-06,0.162,0.0375,137.985,6,1,1
LVL,A$AP Rocky,0.597,0.427,-6.764,0.18,1.33e-05,0.121,0.0536,120.085,5,0,1
Nine Thou (Grant Mohrman Superstars Remix) (Clean),Styles Of Beyond,0.647,0.907,-5.612,0.00178,0.0,0.255,0.085,107.896,1,1,1
Bora Bora,Lil Durk,0.678,0.623,-5.034,0.16,0.0,0.151,0.0828,160.018,1,1,1
SIREN,PassCode,0.562,0.983,-1.381,0.000527,0.00451,0.488,0.0669,97.544,1,1,1
Cupid - Twin Ver.,FIFTY FIFTY,0.783,0.592,-8.332,0.435,4.15e-06,0.347,0.0331,120.018,11,0,0
Boys Don't Cry,Anitta,0.589,0.842,-4.86,0.00178,0.0,0.113,0.0372,164.163,5,1,1
Twin Nem (My Podna My Friend),UnoTheActivist,0.747,0.299,-13.017,0.298,0.00103,0.102,0.318,154.885,4,1,0
Bust a Move,Future,0.804,0.683,-7.344,0.0109,0.0,0.0693,0.055,140.035,2,1,0
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",A$AP Mob,0.848,0.663,-5.606,0.523,0.0,0.108,0.245,133.993,8,0,1
Fight Again,Chica,0.452,0.738,-6.832,0.00152,0.000203,0.346,0.0606,133.723,7,1,0
Flex a Hunnid,UnoTheActivist,0.551,0.67,-5.042,0.0293,0.0,0.25,0.396,155.985,9,1,0
Hotline Bling,Drake,0.891,0.628,-7.863,0.00258,0.00019,0.0504,0.0551,134.966,2,1,1
InDaStreet,Young Nudy,0.536,0.754,-7.39,0.435,0.000308,0.261,0.341,139.932,1,1,0
EA (feat. 21 Savage),Young Nudy,0.451,0.876,-5.205,0.261,0.0,0.098,0.414,87.306,10,0,0
Antisocial,UnoTheActivist,0.677,0.645,-11.029,0.0015,0.0,0.385,0.284,148.512,10,0,0
Blessings,Young Nudy,0.743,0.392,-6.467,0.0341,1.46e-05,0.179,0.249,139.956,1,1,0
No Sl33p,Playboi Carti,0.719,0.852,-5.232,0.024,0.0,0.123,0.149,151.867,0,1,0
Testimony,UnoTheActivist,0.851,0.309,-15.862,0.00988,0.000267,0.111,0.599,155.127,2,1,0
I Can't 4get,UnoTheActivist,0.789,0.516,-10.265,0.13,0.0,0.0892,0.279,138.975,6,0,0
My Legacy,Future,0.89,0.682,-5.249,0.104,0.0,0.116,0.323,143.979,4,1,0
Shootin Star,Young Nudy,0.83,0.438,-13.625,0.0661,7.02e-06,0.144,0.676,159.948,10,0,0
虹の音,Eir Aoi,0.463,0.844,-4.272,0.0141,0.0,0.12,0.0465,167.939,2,1,0
Like Crazy (English Version),Jimin,0.623,0.755,-5.386,0.00306,0.0,0.387,0.0415,119.957,7,1,0
Right Now (feat. Pi'erre Bourne),Playboi Carti,0.687,0.602,-5.005,0.138,0.0,0.203,0.066,78.487,6,0,0
Nonstop,Drake,0.912,0.412,-8.074,0.0165,0.0126,0.104,0.123,154.983,7,1,1
Poquito,Anitta,0.701,0.851,-4.03,0.508,0.0,0.309,0.125,144.832,0,1,1
暁,Yasuharu Takanashi,0.365,0.442,-11.113,0.372,0.453,0.115,0.0363,80.057,0,1,1
B.R.O. (Better Ride Out) [feat. Roddy Ricch],A Boogie Wit da Hoodie,0.474,0.735,-7.427,0.115,0.0,0.0696,0.313,93.702,2,0,0
Nun Like This,Young Nudy,0.797,0.516,-5.349,0.128,0.000184,0.0819,0.0643,136.058,7,1,0
Slave,UnoTheActivist,0.511,0.779,-7.416,0.00176,0.0,0.386,0.0416,152.304,9,0,0
See The Light,Kep1er,0.624,0.837,-3.662,0.00254,5.8e-05,0.056,0.0401,128.074,9,1,1
Mister (feat. 21 Savage),Young Nudy,0.767,0.583,-7.92,0.264,0.0,0.123,0.193,142.957,1,1,0
FANCY,TWICE,0.697,0.874,-2.15,0.0122,0.0,0.627,0.045,132.022,5,0,1
Love Galore (feat. Travis Scott),SZA,0.795,0.594,-6.2,0.112,0.0,0.162,0.0748,135.002,0,1,1
Daydream,Marika Takeuchi,0.434,0.45,-16.443,0.827,0.914,0.1,0.0437,179.742,6,0,1
By Any Means,UnoTheActivist,0.711,0.71,-6.017,0.0137,0.0,0.132,0.0556,148.014,6,0,0
too easy (Remix) [feat. Future & Roddy Ricch],Gunna,0.784,0.601,-6.472,0.0155,0.0,0.122,0.118,156.0,5,0,1
